poi_id,distance_to_building,match_type,confidence,names_left,basic_category,building_id_right
94bfe17f-b485-44ef-880f-4f951b6b1a8e,0.31561347431522246,nearest,high,"{'common': None, 'primary': 'Vickie Slade', 'rules': None}",real_estate_service,40c1a6be-3b0e-48b9-97c2-01ce4559d6f0
bffeba89-a263-4a1f-8148-5a0202a906d1,0.32118078911100767,nearest,high,"{'common': None, 'primary': 'Sage Studio', 'rules': None}",personal_or_beauty_service,a9ea1b43-350f-4aef-955a-2f7f9679af95
86c764dc-5ea8-492e-9392-2de1e88d04fc,0.3221853809408374,nearest,high,"{'common': None, 'primary': 'Boulder Community Treatment', 'rules': None}",housing_or_property_service,4afc834e-af8c-46cb-ab3a-2cc1ac83967f
083d3f2b-a59a-4375-8fc4-fb3010539ba2,0.32249154801687546,nearest,high,"{'common': None, 'primary': 'Heddle Marketing', 'rules': None}",professional_service,35084252-373f-40cb-b70d-b1efbbda4271
eba76d44-3c44-48b8-b761-33b5778a4c90,0.3312194804997757,nearest,high,"{'common': None, 'primary': ""Pasta Jay's"", 'rules': None}",restaurant,5e0aca37-6a8a-4909-ba07-0145be236a7f
bff25716-13cc-4b1b-af54-f68dce9d67a8,0.33431476217022194,nearest,high,"{'common': None, 'primary': 'Art + Soul', 'rules': None}",art_gallery,954cb30c-1eb3-41e2-b7b0-f6640a4c3595
9c6cbd81-146a-43f7-a6a7-019203665714,0.3393940270559715,nearest,high,"{'common': None, 'primary': 'DigiZen Marketing Group', 'rules': None}",professional_service,1b665619-8fdf-4ec5-92f1-5d65aa40a05a
5cf7a826-4206-4709-9d93-6ccd0d7f1bec,0.34363538121382536,nearest,high,"{'common': None, 'primary': 'Ayuna Massage', 'rules': None}",wellness_service,1b665619-8fdf-4ec5-92f1-5d65aa40a05a
afdf94d7-f6e9-4a0e-a86a-0f6ff4251ec7,0.3457850621854838,nearest,high,"{'common': None, 'primary': 'Schaller Hair', 'rules': None}",personal_or_beauty_service,25cb7fa8-adf9-452e-bd36-26563be132ff
98534398-af02-450b-b416-335c0265eb1c,0.34897189837149784,nearest,high,"{'common': None, 'primary': 'Colorado Sports Physiotherapy', 'rules': None}",physical_medicine_and_rehabilitation,767bfd46-8870-4b5f-a874-720446dbaa53
