poi_id,basic_category,eligibility
3afadb51-8da9-4211-8bf3-dc7cf2c79870,home_service,building_based
b84dbd33-1944-4a06-9e9b-69283e289f68,recreational_trail_or_path,site_based
fb4411fb-2a72-4528-941f-b0d5c4e99e17,,uncertain
b561f673-de85-4c30-acb9-331273873903,middle_school,uncertain
ccfdafa7-4a72-441c-93a3-837a14f0c256,,uncertain
3afbc18e-67a3-4623-91d3-ea1f236940c2,behavioral_or_mental_health_clinic,building_based
ec33c6a6-834f-404f-989c-0c3e736f3176,,uncertain
0c5c52fa-353d-422d-8082-ff599149ec6b,complementary_and_alternative_medicine,building_based
4ecb671a-43c6-4213-958e-f037816b8a30,social_or_community_service,building_based
e1ef9f69-b1ff-484c-899c-52bca187dd79,hotel,building_based
6c77e52e-2bd0-4b9b-a377-940780b9b378,behavioral_or_mental_health_clinic,building_based
f902db11-e238-4e7e-a2b1-e276c14dcea4,personal_or_beauty_service,building_based
c295254c-21be-4bb2-8d16-0aeed4ee7129,psychic_advising,uncertain
47e2c194-c2b3-4e95-a5c5-2baf56270105,professional_service,building_based
6c016ae1-3d2f-465b-99b5-4d9c7f36d35e,personal_or_beauty_service,building_based
16c0927b-18cd-4f29-a5eb-d1632eecac59,complementary_and_alternative_medicine,building_based
a996f0b6-3dee-4d2b-bc4a-5a6f0e6caee2,behavioral_or_mental_health_clinic,building_based
b2aba236-6d52-4346-aaf1-7e9d76966ba5,complementary_and_alternative_medicine,building_based
ecaa838d-8130-47b0-b271-0c2fe46a27d0,wellness_service,building_based
98e2bac3-110e-4501-9af2-06076622ace6,social_or_community_service,building_based
f882a206-63d0-4fd0-9be5-2e5d440e85ae,behavioral_or_mental_health_clinic,building_based
8e36db1b-eaeb-4f6c-84c9-9ee6c9ffbf11,behavioral_or_mental_health_clinic,building_based
da415d82-72e3-4f84-8128-84bb6cbc515f,behavioral_or_mental_health_clinic,building_based
2975755b-ad34-4479-8619-4d5534d76a14,,uncertain
6b5a1b76-f667-447b-9087-74f43e94c81b,middle_school,uncertain
cf1b6af5-97c2-4a6c-9bb1-8840fe910dcf,educational_facility,uncertain
789c774f-9f13-4487-a7ba-630dd05caeb8,park,site_based
2d34b278-042f-4e34-b541-27688b30babd,financial_service,building_based
ff5c1efb-ad0d-4d1a-8afc-4fa7a3ec2f63,home_service,building_based
849a052d-2abe-48a1-9dbf-9ddc63174485,,uncertain
9d7bd78d-d6f6-4338-be6b-6cb8f79e5aca,specialty_school,uncertain
2a951e7d-484b-4253-8e0a-fe5c57869a42,christian_place_of_worship,uncertain
1c78f147-0fa9-4410-a402-bd70da502d99,social_or_community_service,building_based
e45fc651-f557-4e96-822a-aabbfdb8e063,automotive_service,uncertain
c42392a8-e4c0-4265-8c83-514949ac6f87,place_of_learning,uncertain
d6ea8857-7938-4274-9058-59d9e4cb9bbd,religious_organization,uncertain
05e9931c-a531-42aa-8e2a-e2ebb0b1aba8,college_university,building_based
f075aacf-e1f2-4be3-b3ed-c7a5360a495c,beach,uncertain
f3cdf88b-3c2f-49a2-aaf8-7312ba1911a0,social_or_community_service,building_based
1c30b842-21b4-4d1d-b733-ab850dfc8c5d,historic_site,uncertain
1bd6bb0f-d9fe-4123-b4d2-7f9b71d89f95,apartment,uncertain
3eb28a83-4e7c-4909-9b49-d1dbff8fe4e2,social_or_community_service,building_based
57226eed-9bcc-4e8a-9fc9-c6c6955a52ea,social_or_community_service,building_based
eda764ad-65e9-45d6-bae9-4edb4868a984,social_or_community_service,building_based
f145ea2c-d2e6-495f-b377-6eb382d0200a,college_university,building_based
f49530a6-b10c-43d2-a4ed-d73aa60c3c27,apartment,uncertain
05adf7b0-94dc-42ae-ab24-5fd1b0fe5479,b2b_office_and_professional_service,uncertain
f57db735-401d-4b39-b93f-c42671427aba,b2b_office_and_professional_service,uncertain
398a661d-9f92-4786-a3c0-68634b33354e,media_service,building_based
9709df17-0df5-452d-a6ee-36d76653f684,restaurant,building_based
b9d77e0a-5f27-4633-a40c-c14c2c10467a,media_service,building_based
09c90095-d712-4c2b-82e5-70ce0b1314cb,home_service,building_based
ad7efaa8-5aa7-4474-9755-b8a7601382ed,christian_place_of_worship,uncertain
5e443787-8c20-4000-8946-9d50ef236143,coffee_shop,building_based
8221e440-fc4b-4fa5-b305-0298ad3a82b4,elementary_school,uncertain
cf902419-4f0c-424b-9677-3b4f5222bbc2,place_of_learning,uncertain
8651e33b-c9cb-44c2-9cb9-84fc288d9c29,place_of_learning,uncertain
36b167fd-a314-4932-95f4-368d197c682a,social_or_community_service,building_based
eaf2e498-21c4-4c84-b070-8efeec5d83d9,bar,building_based
d44afb63-dfab-4a19-9b74-c0bfe8079cfa,social_or_community_service,building_based
0ff96373-4e6f-424f-9d59-9a675c502dea,christian_place_of_worship,uncertain
f77efa04-4824-45c1-82b3-d0b4b544d8c1,social_or_community_service,building_based
c2393dee-1ef6-4f33-9f85-3c1d0ad843dd,specialty_school,uncertain
f5d8eaab-d7ee-402c-aada-124e3f5a6f65,social_or_community_service,building_based
25a6edc4-8bf0-424f-9b35-4f12edde633a,social_or_community_service,building_based
f361c54e-e15f-458f-af64-3f79ec6d780f,social_or_community_service,building_based
22329a3a-2702-43d0-b524-39b0da4f681b,social_or_community_service,building_based
b08f73c0-343d-4a3e-96ed-51fec9883e74,bank_or_credit_union,building_based
b895125d-4a71-41d6-a056-819101f5e8e2,books_music_and_video_store,uncertain
dbe15932-daf9-48be-82c1-697745632f66,college_university,building_based
ab5ba17f-01da-4886-ab36-1404758253bd,technical_service,building_based
7bc647c5-bd38-413b-b8e2-b68f2aaaa732,corporate_or_business_office,building_based
aacc7919-e9b2-4b4e-b6ca-5757a119a652,music_venue,uncertain
20d4fa30-d867-40fe-b3c1-2d00818f4e41,social_or_community_service,building_based
c79d55af-12a2-42cc-8340-de73a6d6e74d,library,building_based
94eddbf0-05cf-4aee-a2f2-e622a0e36a0d,social_or_community_service,building_based
4522caa2-ae9f-4c73-9452-58264f0622a0,social_or_community_service,building_based
6024b0f7-27e9-4a79-91f9-760dbec6beac,sport_or_fitness_facility,uncertain
bde910db-f250-4507-9148-ebfa7972ecdc,restaurant,building_based
7c8b2ff5-2e08-4f27-b567-38a76f29192f,specialized_medical_facility,uncertain
d58cb2c7-1567-4db2-9a37-f64344c68a7e,event_or_party_service,uncertain
edcea2b6-8f96-434d-93f7-27c4b46493fa,casual_eatery,building_based
d2a6c434-8532-4436-a351-6e8551cd5005,sport_or_fitness_facility,uncertain
cf9fc842-4b61-4e51-89e0-44669ea59dc8,campus_building,uncertain
c357e6e6-25d5-46c2-bf9a-cc2e94e961d3,social_or_community_service,building_based
7f495b8b-42af-4801-8d35-61d50b2bb243,restaurant,building_based
eb00a1ff-3641-4a98-bf49-1e51e4ee25e5,technical_service,building_based
71e13b66-2011-4848-ac16-a6701c4e2789,fast_food_restaurant,building_based
9a1ac52d-0d4a-4f44-ab55-2ea55e7917b2,bank_or_credit_union,building_based
2c060e9f-6c6f-4341-9bd8-b221fb65fc67,bank_or_credit_union,building_based
4a4305c1-3d96-4557-84cf-4d487b09abc8,bank_or_credit_union,building_based
39b0f137-e21e-4e2a-ac57-7937ebf475c2,college_university,building_based
16e28c70-b4be-4eb4-b5c9-b9acd9e50591,college_university,building_based
9a79a2e1-705c-423c-9900-eb30218662c8,restaurant,building_based
e19686e1-34dc-4ae4-a538-e87a72320860,radio_station,uncertain
